respID,Gender,Ethnicity,Q3TeachBioinfor,Q5MoreCourses,Q6BioinfoCourses,Q7FacedBarriers,Q24CURE_SURE,Q31TeachUG,QID1,I lack expertise in bioinformatics,I lack experience in teaching bioinformatics....42,I lack time to restructure course(s),I lack the autonomy to add content to my course(s)....44,I lack space in my course(s) to add content....45,I lack curricular materials....46,I lack appropriate technical resources (internet access/software/hardware/IT support)....47,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....48,My student population lacks prerequisite skills.,My student population lacks interest in bioinformatics....50,I lack expertise in bioinformatics.,I lack experience in teaching bioinformatics....54,I lack time to restructure course(s).,I lack the autonomy to add content to my course(s)....56,I lack space in my course(s) to add content....57,I lack curricular materials....58,I lack appropriate technical resources (internet access/software/hardware/IT support)....59,My student population lacks access to appropriate technical resources (internet access/software/hardware/IT support)....60,My student population lacks prerequisite skills,My student population lacks interest in bioinformatics....62,BASIC2018_bins_text.Current,BASIC2018_bins.Current,BASIC2018_bins_text.TerminalDegree,URM,MSI.Current,HBCU.Current,HSI.Current,Q14 In which year did you earn your highest academic degree?,Q12 Which of the following best describes your level of bioinformatics training? Select ALL that apply.,MSI_text.Current,HSI_text.Current,HBCU_text.Current,SIZESET2018_bins_text.Current,CONTROL_text.Current,Q33 Which of the following represents your highest academic degree?
R302,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Severe challenge,NA,Severe challenge,Moderate challenge,Moderate challenge,Moderate challenge,Moderate challenge,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,1990-1999,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R303,M,Scandinavian,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,a bioinformatics-specific course,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Moderate challenge,NA,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,NA,Moderate challenge,Doctoral/Professional Universities,3,Special Focus Four-Year,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R307,M,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,NA,NA,Severe challenge,NA,Minor challenge,Moderate challenge,NA,NA,Moderate challenge,Minor challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R309,F,Eastern European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,NA,No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Master's Colleges & Universities,non-URM,0,2,0,2000-2009,"no training/experience,workshops or bootcamp",No,No,No,Medium,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R315,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Minor challenge,NA,NA,NA,NA,Severe challenge,Moderate challenge,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R317,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,a bioinformatics-specific course,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R318,F,Hispanic,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,NA,Moderate challenge,NA,Severe challenge,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,NA,Master's Colleges & Universities,4,NA,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R320,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,NA,NA,NA,Minor challenge,NA,NA,Moderate challenge,NA,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,6,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,self-taught,No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R322,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,graduate course(s),No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R323,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",No,"a bioinformatics-specific course,a bioinformatics minor,a bioinformatics major",Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,NA,NA,Severe challenge,Minor challenge,NA,NA,Severe challenge,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,1,2,1,2000-2009,"self-taught,workshops or bootcamp",Yes,Yes,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R325,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,NA,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R327,M,Hispanic,I do not include bioinformatics in my teaching and do not plan to do so,No,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,URM,0,2,0,2010-2019,no training/experience,No,No,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R331,M,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,"a bioinformatics-specific course,a bioinformatics minor,a bioinformatics major",No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,1,2,0,2000-2009,self-taught,Yes,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R332,M,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,NA,NA,NA,Moderate challenge,Severe challenge,Severe challenge,Severe challenge,Severe challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R334,M,Mediterranean,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,NA,I agree with this statement,I agree with this statement,NA,I agree with this statement,NA,NA,I do NOT agree with this statement,NA,NA,NA,Moderate challenge,Severe challenge,NA,Severe challenge,NA,NA,NA,NA,NA,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,self-taught,No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R338,F,Western European,I do not include bioinformatics in my teaching and do not plan to do so,Maybe,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R339,M,Western European,I teach a dedicated upper-level (3rd/4th) bioinformatics course(s),Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,NA,NA,NA,Severe challenge,NA,NA,Moderate challenge,Severe challenge,Moderate challenge,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R340,U,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,a bioinformatics-specific course,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Severe challenge,Severe challenge,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,NA,non-URM,0,2,0,1990-1999,undergraduate course(s),No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R342,U,East Asian,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics major,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Minor challenge,Minor challenge,Moderate challenge,NA,Minor challenge,Minor challenge,Moderate challenge,Severe challenge,Severe challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,1,2,0,2000-2009,"self-taught,workshops or bootcamp",Yes,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R343,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,NA,Minor challenge,Minor challenge,NA,Minor challenge,Minor challenge,Moderate challenge,Moderate challenge,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R345,F,Eastern European,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),No,a bioinformatics-specific course,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,NA,NA,NA,Moderate challenge,Moderate challenge,Moderate challenge,Severe challenge,Minor challenge,Master's Colleges & Universities,4,NA,non-URM,0,2,0,2000-2009,"workshops or bootcamp,graduate course(s)",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R346,M,Eastern European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,NA,NA,NA,NA,Moderate challenge,Moderate challenge,Moderate challenge,Severe challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R347,F,East Asian,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,NA,non-URM,0,2,0,2000-2009,"self-taught,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R348,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,a bioinformatics minor,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,NA,NA,Severe challenge,Moderate challenge,Severe challenge,Moderate challenge,Moderate challenge,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R351,M,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R352,F,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in a lower-level courses (1st/2nd year),I teach a dedicated lower-level (1st/2nd) bioinformatics course(s)",Maybe,a bioinformatics-specific course,Yes,"yes, part of a SURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,NA,NA,Moderate challenge,NA,Minor challenge,NA,NA,NA,Severe challenge,Moderate challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp,undergraduate course(s),graduate course(s),graduate degree",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R354,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,NA,NA,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,1,2,1,1990-1999,self-taught,Yes,Yes,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R357,F,Eastern European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Maybe,a bioinformatics-specific course,No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,self-taught,No,No,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R359,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,"a bioinformatics-specific course,a bioinformatics minor,a bioinformatics major",Yes,"yes, part of a CURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,NA,NA,Moderate challenge,NA,Moderate challenge,Severe challenge,NA,NA,Moderate challenge,Severe challenge,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp,graduate course(s),graduate degree",No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R362,F,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,Moderate challenge,Moderate challenge,Minor challenge,NA,NA,NA,NA,NA,Moderate challenge,Severe challenge,Baccalaureate Colleges,5,NA,URM,1,1,0,2000-2009,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",Yes,No,Yes,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R364,F,Eastern European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",No,"a bioinformatics-specific course,a bioinformatics certificate",Yes,neither,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Minor challenge,Minor challenge,NA,Moderate challenge,Minor challenge,NA,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R366,M,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",No,NA,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Special Focus Four-Year,7,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R367,M,African American,I teach a dedicated lower-level (1st/2nd) bioinformatics course(s),Yes,"a bioinformatics-specific course,a bioinformatics minor",No,"yes, part of a CURE",yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,URM,0,2,0,1990-1999,self-taught,No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R370,F,Jewish,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,a bioinformatics-specific course,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,NA,NA,NA,NA,NA,NA,NA,Moderate challenge,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp,online course(s) (i.e., Coursera)",No,No,No,Large or Very Large,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R371,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Maybe,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,Minor challenge,NA,NA,Minor challenge,Moderate challenge,Moderate challenge,Moderate challenge,NA,Associate's Colleges,1,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,workshops or bootcamp",No,No,No,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R373,M,African American,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,"a bioinformatics-specific course,a bioinformatics minor,a bioinformatics major",Yes,"yes, part of a CURE,yes, part of a SURE",yes,I AGREE to participate.,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,NA,Minor challenge,NA,Moderate challenge,NA,Moderate challenge,Minor challenge,Moderate challenge,Severe challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,URM,0,2,0,2000-2009,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R375,F,Western European,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Yes,NA,Yes,neither,yes,I AGREE to participate.,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,NA,Severe challenge,Moderate challenge,NA,Severe challenge,Moderate challenge,NA,Moderate challenge,Severe challenge,Minor challenge,Baccalaureate Colleges,5,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,"self-taught,workshops or bootcamp",No,No,No,Small or Very Small,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R376,F,Mediterranean,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,Yes,NA,yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,I agree with this statement,I do NOT agree with this statement,Moderate challenge,Moderate challenge,NA,NA,NA,NA,NA,NA,Severe challenge,NA,Master's Colleges & Universities,4,NA,non-URM,1,1,0,1990-1999,self-taught,Yes,No,Yes,Medium,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R378,F,Western European,"I teach a substantial amount of bioinformatics (e.g., more than one lecture/lab module) in an upper-level courses (3rd/4th year),I teach a dedicated upper-level (3rd/4th) bioinformatics course(s)",Yes,a bioinformatics-specific course,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doctoral/Professional Universities,3,Doctoral/Professional Universities,non-URM,0,2,0,1990-1999,"self-taught,graduate degree",No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R379,F,Hispanic,"I teach some bioinformatics (e.g., one lecture/lab module) in a lower-level courses (1st/2nd year)",Yes,NA,Yes,"yes, part of a CURE",yes,I AGREE to participate.,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I agree with this statement,I do NOT agree with this statement,I do NOT agree with this statement,Moderate challenge,Minor challenge,Severe challenge,Moderate challenge,Moderate challenge,Moderate challenge,Severe challenge,Moderate challenge,NA,NA,Associate's Colleges,1,Doctoral/Professional Universities,URM,0,2,0,1980-1989,"self-taught,workshops or bootcamp,graduate degree",No,No,No,Large or Very Large,Public,"Masters degree or equivalent (e.g., MS, MBA, MA, etc)"
R381,M,Jewish,"I teach some bioinformatics (e.g., one lecture/lab module) in an upper-level courses (3rd/4th year)",Maybe,NA,No,neither,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Master's Colleges & Universities,4,Doctoral/Professional Universities,non-URM,0,2,0,2010-2019,self-taught,No,No,No,Medium,Private not-for-profit,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
R383,F,Western European,"I do not include bioinformatics in my teaching at this time, but do plan to do so",Yes,NA,No,NA,yes,I AGREE to participate.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Associate's Colleges,1,NA,non-URM,0,2,0,2000-2009,self-taught,No,No,No,Large or Very Large,Public,"Doctoral degree or equivalent (e.g;, PhD, EdD, etc)"
